id,type,name,category,sponsored,availability,rent,price,modified,created,address,latitude,longitude,size,full_name,keywords,reduced
53259,PROPERTY,1b,RW,false,To Let,27500,,2017-04-24T01:04:43,2013-10-08T09:23:37,"Cape Hill, Smethwick | B66 3PR",52.4875946,-1.9606121,1000,"1b, Windmill Shopping Park","cape hill, smethwick | b66 3pr,1b, windmill shopping park,"
54635,PROPERTY,Unit 18,SC,false,To Let,39000,,2019-04-11T11:44:21,2015-09-25T15:02:34,Birmingham | B31 2JU,52.4168015,-1.9680001,,"Unit 18, Northfield Shopping Centre","birmingham | b31 2ju,unit 18, northfield shopping centre,"
54643,PROPERTY,Unit 34,SC,false,To Let,41000,,2019-04-11T11:44:22,2013-11-27T15:50:10,Birmingham | B31 2JU,52.4168015,-1.9680001,,"Unit 34, Northfield Shopping Centre","birmingham | b31 2ju,unit 34, northfield shopping centre,"
55373,PROPERTY,Unit 31,RW,false,To Let,165000,,2019-12-12T16:08:08,2015-09-15T16:35:07,"Town Centre, Birmingham | B31 2TS",52.47826,-1.87655,5030,"Unit 31, Longbridge Town Centre","town centre, birmingham | b31 2ts,unit 31, longbridge town centre,"
55545,PROPERTY,18 Drury Lane,SC,false,To Let,39000,,2017-02-13T07:58:12,2014-02-12T14:59:52,"Drury Lane, Solihull | B91 3BG",52.413723,-1.7764558,,"18 Drury Lane, Mell Square","drury lane, solihull | b91 3bg,18 drury lane, mell square,"
57747,PROPERTY,Unit 3B,RW,false,To Let,,,2020-11-16T15:01:48,2015-04-29T15:23:33,"Harborne Lane, Birmingham | B29 6SJ",52.4421997,-1.9394,3355,"Unit 3B, Battery Retail Park","harborne lane, birmingham | b29 6sj,unit 3b, battery retail park,"
57822,PROPERTY,Unit 19B,SC,false,To Let,,,2019-04-10T10:11:54,2015-05-11T15:07:15,"Broadway Plaza, Birmingham | B16 8LP",52.4734993,-1.9217,3416,"Unit 19B, Broadway Plaza","broadway plaza, birmingham | b16 8lp,unit 19b, broadway plaza,"
58152,PROPERTY,Unit 124,SC,true,To Let,,,2021-03-09T15:31:50,2016-06-09T17:07:43,"210a Parade, Sutton Coldfield | B72 1PA",52.5621986,-1.8249,3989,"Unit 124, Gracechurch Centre","210a parade, sutton coldfield | b72 1pa,unit 124, gracechurch centre,"
58944,PROPERTY,Unit 11,SC,false,To Let,130000,,2020-10-12T10:03:04,2014-06-23T15:37:17,"Church Road, Yardley | B25 8UJ",52.4621773,-1.8144622,6697,"Unit 11, Swan Shopping Centre","church road, yardley | b25 8uj,unit 11, swan shopping centre,"
58945,PROPERTY,Unit 12,SC,false,To Let,37500,,2020-10-12T10:10:06,2014-06-23T15:37:42,"Church Road, Yardley | B25 8UJ",52.4621773,-1.8144622,1550,"Unit 12, Swan Shopping Centre","church road, yardley | b25 8uj,unit 12, swan shopping centre,"
